Translation Status
Source locale: en_US
Target locale: pt_BR
Scope: all-parts

Source keys:               5448
Target keys:               5536
Translated vs source:      5022
Untranslated vs source:    419
Missing in target:         7
Extra in target:           95
Empty values in target:    0
Coverage vs source:       92.18%

Per-part file metrics (32 parts):
Part    Source  Target  Xlat  Unxlat  Missing  Extra  Empty  Coverage
part01     166     168   144      22        0      2      0     86.75%
part02     196     200   166      30        0      4      0     84.69%
part03     162     163   144      18        0      1      0     88.89%
part04     171     173   150      20        1      3      0     87.72%
part05     179     182   154      25        0      3      0     86.03%
part06     174     177   152      21        1      4      0     87.36%
part07     174     177   149      25        0      3      0     85.63%
part08     159     163   155       4        0      4      0     97.48%
part09     181     184   168      12        1      4      0     92.82%
part10     174     176   153      21        0      2      0     87.93%
part11     173     176   156      17        0      3      0     90.17%
part12     183     184   162      21        0      1      0     88.52%
part13     192     196   172      19        1      5      0     89.58%
part14     156     158   138      18        0      2      0     88.46%
part15     160     163   138      21        1      4      0     86.25%
part16     183     184   166      17        0      1      0     90.71%
part17     161     164   154       7        0      3      0     95.65%
part18     179     180   161      18        0      1      0     89.94%
part19     131     134   108      23        0      3      0     82.44%
part20     189     192   183       6        0      3      0     96.83%
part21     167     172   160       7        0      5      0     95.81%
part22     162     165   157       5        0      3      0     96.91%
part23     172     174   165       7        0      2      0     95.93%
part24     199     201   194       5        0      2      0     97.49%
part25     142     144   137       5        0      2      0     96.48%
part26     163     166   161       1        1      4      0     98.77%
part27     192     195   190       2        0      3      0     98.96%
part28     165     169   161       4        0      4      0     97.58%
part29     167     170   158       9        0      3      0     94.61%
part30     149     151   146       3        0      2      0     97.99%
part31     168     173   164       3        1      6      0     97.62%
part32     159     162   156       3        0      3      0     98.11%
